,condition,label,sentence
2750,sushi,neutral,$20 for all you can eat sushi cannot be beaten.
2751,price,positive,$20 for all you can eat sushi cannot be beaten.
2752,anecdotes/miscellaneous,positive,It has been my first choice ever since I discovered it .
2753,food,positive,Over 100 different choices to create your own.
2754,fish,positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
2755,service,positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
2756,ambiance,positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
2757,location,positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
2758,food,positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
2759,service,positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
2760,ambience,positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
2761,outdoor seating,positive,Warm and friendly in the winter and terrific outdoor seating in the warmer months.
2762,ambience,positive,Warm and friendly in the winter and terrific outdoor seating in the warmer months.
2763,wine,positive,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
2764,ambience,positive,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
2765,wine,positive,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
2766,food,positive,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
2767,ambience,positive,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
2768,sake,neutral,We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?
2769,anecdotes/miscellaneous,neutral,We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?
2770,dumplings,positive,"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!"
2771,food,positive,"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!"
2772,anecdotes/miscellaneous,neutral,"After reading the posts, I was always skeptical to go to The Minnow, despite living in Park Slope."
2773,anecdotes/miscellaneous,positive,I loved it and will be back soon.
2774,crowd,positive,"Always a nice crowd, but never loud."
2775,ambience,positive,"Always a nice crowd, but never loud."
2776,turkey burger,negative,"My turkey burger was not cooked at all, my friends salmon was completely raw."
2777,salmon,negative,"My turkey burger was not cooked at all, my friends salmon was completely raw."
2778,food,negative,"My turkey burger was not cooked at all, my friends salmon was completely raw."
2779,service,conflict,"The service is spotty, sometimes really friendly and sometimes barely there."
2780,service,conflict,"The service is spotty, sometimes really friendly and sometimes barely there."
2781,Decor,neutral,Decor is minimalist and clean - nothing to distract or commend.
2782,ambience,neutral,Decor is minimalist and clean - nothing to distract or commend.
2783,drinks,positive,"His drinks are very inventive, delicious and classy."
2784,food,positive,"His drinks are very inventive, delicious and classy."
2785,food,positive,"Great food, great prices, great service."
2786,prices,positive,"Great food, great prices, great service."
2787,service,positive,"Great food, great prices, great service."
2788,food,positive,"Great food, great prices, great service."
2789,service,positive,"Great food, great prices, great service."
2790,price,positive,"Great food, great prices, great service."
2791,Chinese food,neutral,This isn't your corner Chinese food takeout.
2792,anecdotes/miscellaneous,neutral,This isn't your corner Chinese food takeout.
2793,Pizza,positive,Awsome Pizza especially the Margheritta slice.
2794,Margheritta,positive,Awsome Pizza especially the Margheritta slice.
2795,food,positive,Awsome Pizza especially the Margheritta slice.
2796,place,positive,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average."
2797,Thai food,positive,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average."
2798,food,positive,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average."
2799,ambience,positive,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average."
2800,anecdotes/miscellaneous,neutral,"My husband and I ate here after reading reviews here as well as hobokeni.com,"
2801,menu,positive,"Try ordering from the regular menu, then you would not regret!"
2802,food,positive,"Try ordering from the regular menu, then you would not regret!"
2803,table,negative,"Told us to sit anywhere, and when we sat he said the table was reserved."
2804,service,negative,"Told us to sit anywhere, and when we sat he said the table was reserved."
2805,eel,neutral,"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison."
2806,anecdotes/miscellaneous,neutral,"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison."
2807,lox,positive,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner."
2808,mussels,positive,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner."
2809,cod,neutral,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner."
2810,trout,neutral,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner."
2811,dinner,neutral,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner."
2812,food,positive,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner."
2813,crispy chicken,negative,"The crispy chicken wasn't for us, though."
2814,food,negative,"The crispy chicken wasn't for us, though."
2815,anecdotes/miscellaneous,positive,JUST AWSOME.
2816,Food,positive,Food is great.
2817,food,positive,Food is great.
2818,food,positive,There is a lot of variety even for people who eat vegetarian like me.
2819,meatballs,positive,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
2820,caprese salad,positive,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
2821,beans on toast,positive,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
2822,meal,neutral,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
2823,food,positive,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
2824,place,negative,This place is incredibly tiny.
2825,ambience,negative,This place is incredibly tiny.
2826,anecdotes/miscellaneous,positive,"I will definetely go back again and again, that's for sure!!!"
2827,atmosphere,positive,"I didn't complain, I liked the atmosphere so much."
2828,ambience,positive,"I didn't complain, I liked the atmosphere so much."
2829,anecdotes/miscellaneous,positive,This is one of our all-time favorite.
2830,diners,neutral,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.
2831,reservations,negative,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.
2832,tables,negative,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.
2833,lobby,neutral,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.
2834,waiting,negative,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.
2835,service,negative,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.
2836,wine,positive,"The wine is always good, the tapas are always yummy, especially with the warm pita bread."
2837,tapas,positive,"The wine is always good, the tapas are always yummy, especially with the warm pita bread."
2838,pita bread,positive,"The wine is always good, the tapas are always yummy, especially with the warm pita bread."
2839,food,positive,"The wine is always good, the tapas are always yummy, especially with the warm pita bread."
2840,waitresses,positive,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
2841,price,positive,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
2842,service,positive,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
2843,menu,neutral,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
2844,food,neutral,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
2845,price,positive,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
2846,service,positive,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
2847,anecdotes/miscellaneous,negative,this place is amazingly bad.
2848,anecdotes/miscellaneous,positive,"Compared to other shabu restaurants around town, this places wins hands-down."
2849,Dim Sum,negative,I've been to several places for Dim Sum and this has got to be the WORST.
2850,food,negative,I've been to several places for Dim Sum and this has got to be the WORST.
2851,anecdotes/miscellaneous,negative,I've been to several places for Dim Sum and this has got to be the WORST.
2852,anecdotes/miscellaneous,positive,I love this place.
2853,variety,positive,"The freshest, best variety, and the fastest delivery."
2854,delivery,positive,"The freshest, best variety, and the fastest delivery."
2855,food,positive,"The freshest, best variety, and the fastest delivery."
2856,service,positive,"The freshest, best variety, and the fastest delivery."
2857,service,positive,Go to Volare for 1st class service and terrific food.
2858,food,positive,Go to Volare for 1st class service and terrific food.
2859,food,positive,Go to Volare for 1st class service and terrific food.
2860,service,positive,Go to Volare for 1st class service and terrific food.
2861,service,positive,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence."
2862,seat,neutral,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence."
2863,service,positive,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence."
2864,ambience,positive,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence."
2865,Dinner,negative,Dinner took almost 4 hours without any lag time.
2866,anecdotes/miscellaneous,negative,Dinner took almost 4 hours without any lag time.
2867,people,negative,The people in the restaurant were pretty obnoxious and loud.
2868,ambience,negative,The people in the restaurant were pretty obnoxious and loud.
2869,sandwiches,negative,"The sandwiches are dry, tasteless and way overpriced."
2870,food,negative,"The sandwiches are dry, tasteless and way overpriced."
2871,price,negative,"The sandwiches are dry, tasteless and way overpriced."
2872,anecdotes/miscellaneous,neutral,The problem is just that-it is a sometimes kind of affair.
2873,Price,positive,Price no more than a Jersey deli but way better.
2874,price,positive,Price no more than a Jersey deli but way better.
2875,fried rice,positive,The fried rice is really good too.
2876,food,positive,The fried rice is really good too.
2877,staff,positive,We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.
2878,manager,positive,We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.
2879,menu selections,positive,We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.
2880,service,positive,We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.
2881,dining experience,negative,Made my dining experience uncomfortable.
2882,anecdotes/miscellaneous,negative,Made my dining experience uncomfortable.
2883,price,positive,It's a steal!
2884,anecdotes/miscellaneous,neutral,We went to this restaurant based on prior internet comments.
2885,serves,negative,"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer..."
2886,service,negative,"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer..."
2887,front doors,neutral,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.
2888,ambience,negative,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.
2889,service,positive,"A very inviting restaurant, with friendly service."
2890,service,positive,"A very inviting restaurant, with friendly service."
2891,ambience,positive,"A very inviting restaurant, with friendly service."
2892,back garden sitting area,positive,"THe back garden sitting area is very pleasant, where you can see their personal herb garden."
2893,personal herb garden,positive,"THe back garden sitting area is very pleasant, where you can see their personal herb garden."
2894,ambience,positive,"THe back garden sitting area is very pleasant, where you can see their personal herb garden."
2895,anecdotes/miscellaneous,neutral,What's the difference between the two?
2896,anecdotes/miscellaneous,positive,Will go back but only sate those homesick stomach cravings!
2897,pastrami sandwiches,neutral,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants."
2898,Mexican food,neutral,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants."
2899,anecdotes/miscellaneous,positive,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants."
2900,anecdotes/miscellaneous,negative,I was very disappointed with this restaurant.
2901,drinks,positive,The drinks are always welll made and wine selection is fairly priced.
2902,wine selection,neutral,The drinks are always welll made and wine selection is fairly priced.
2903,priced,positive,The drinks are always welll made and wine selection is fairly priced.
2904,food,positive,The drinks are always welll made and wine selection is fairly priced.
2905,price,positive,The drinks are always welll made and wine selection is fairly priced.
2906,house salad,positive,We also had shared a house salad that was fresh.
2907,food,positive,We also had shared a house salad that was fresh.
2908,ceiling,positive,The ceiling is amazing!
2909,ambience,positive,The ceiling is amazing!
2910,anecdotes/miscellaneous,neutral,My wife and I were in NYC celebrating our 30th anniversary.
2911,anecdotes/miscellaneous,positive,I'm glad I was introduced to this place and this is a rare gem in NY.
2912,check,neutral,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.
2913,table,neutral,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.
2914,glass of water,neutral,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.
2915,service,negative,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.
2916,food,negative,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.
2917,french food,positive,Not a small feat for good french food in the area.
2918,food,positive,Not a small feat for good french food in the area.
2919,live music,neutral,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped."
2920,space,negative,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped."
2921,jazz nights,neutral,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped."
2922,ambience,negative,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped."
2923,Food,positive,Food was average but tasty.
2924,food,positive,Food was average but tasty.
2925,anecdotes/miscellaneous,neutral,We come from New Jersey to eat at Kinoko.
2926,establishment,positive,Big Wong gets big Ups for a fine establishment.
2927,ambience,positive,Big Wong gets big Ups for a fine establishment.
2928,anecdotes/miscellaneous,negative,Will never be back.
2929,entree,negative,"The entree was bland and small, dessert was not inspired."
2930,dessert,negative,"The entree was bland and small, dessert was not inspired."
2931,food,negative,"The entree was bland and small, dessert was not inspired."
2932,anecdotes/miscellaneous,positive,I highly recommend it.
2933,ambience,negative,Oh and it's too tiny for families with strollers.
2934,staff,positive,The staff was the friendliest that have seen in New York.
2935,service,positive,The staff was the friendliest that have seen in New York.
2936,food,neutral,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great."
2937,lemon salad,negative,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great."
2938,pepper,negative,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great."
2939,food,conflict,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great."
2940,Pad thai,conflict,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places."
2941,lad nar,conflict,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places."
2942,dishes,conflict,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places."
2943,places,negative,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places."
2944,thai food,neutral,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places."
2945,food,conflict,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places."
2946,food,positive,Delicious food at a great price but do not go here on a cold day and sit by the front door.
2947,price,positive,Delicious food at a great price but do not go here on a cold day and sit by the front door.
2948,front door,neutral,Delicious food at a great price but do not go here on a cold day and sit by the front door.
2949,food,positive,Delicious food at a great price but do not go here on a cold day and sit by the front door.
2950,price,positive,Delicious food at a great price but do not go here on a cold day and sit by the front door.
2951,ambience,negative,Delicious food at a great price but do not go here on a cold day and sit by the front door.
2952,Guizhou chicken,positive,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu)."
2953,fish with hot bean source,positive,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu)."
2954,fish fillet in spicy source,positive,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu)."
2955,special menu,positive,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu)."
2956,food,positive,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu)."
2957,prices,positive,"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown."
2958,price,positive,"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown."
2959,anecdotes/miscellaneous,neutral,"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown."
2960,open kitchen,positive,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
2961,ambience,conflict,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
2962,anecdotes/miscellaneous,positive,My six year old loved it.
2963,Pizza,negative,Pizza was a little soggy.
2964,food,negative,Pizza was a little soggy.
2965,food,positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
2966,bhelpuri,positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
2967,sevpuri,positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
2968,samosa chaats,positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
2969,indian appetizers,positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
2970,bombay style chaat,positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
2971,food,positive,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
2972,Singapore Mai Fun,negative,The Singapore Mai Fun had NO curry flavor whatsoever.
2973,curry flavor,negative,The Singapore Mai Fun had NO curry flavor whatsoever.
2974,food,negative,The Singapore Mai Fun had NO curry flavor whatsoever.
2975,manager,negative,The only problem is that the manager is a complete incompetent.
2976,service,negative,The only problem is that the manager is a complete incompetent.
2977,wine list,positive,The wine list is interesting and has many good values.
2978,food,positive,The wine list is interesting and has many good values.
2979,service,negative,Murray won't do it.
2980,food,negative,I'm still mad that i had to pay for lousy food.
2981,food,negative,I'm still mad that i had to pay for lousy food.
2982,dinner location,neutral,This restaurant used to be our regular Thursday night dinner location.
2983,anecdotes/miscellaneous,neutral,This restaurant used to be our regular Thursday night dinner location.
2984,Indian restaurant food,positive,Definite go if you're used to good Indian restaurant food from abroad.
2985,food,positive,Definite go if you're used to good Indian restaurant food from abroad.
2986,AT MOSHPHERE,positive,"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY."
2987,ambience,positive,"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY."
2988,pizza,positive,"By far, the best pizza in Manhattan."
2989,food,positive,"By far, the best pizza in Manhattan."
2990,Thai food,positive,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
2991,service,negative,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
2992,food,positive,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
2993,service,negative,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
2994,ambience,conflict,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
2995,ambience,negative,"Most people eat there seem to be typical Upper East Side snobs, so be aware."
2996,waiter,negative,The waiter actually poured water on my hand and walked away.
2997,water,neutral,The waiter actually poured water on my hand and walked away.
2998,service,negative,The waiter actually poured water on my hand and walked away.
2999,food,positive,"The food is mostly made from scratch, fresh and well prepared."
3000,food,positive,"The food is mostly made from scratch, fresh and well prepared."
3001,bill,negative,"Worse of all, $60 was erroneously added to our $80 bill."
3002,service,negative,"Worse of all, $60 was erroneously added to our $80 bill."
3003,ambience,negative,Too cold to enjoy.
3004,reservations,positive,"NO more reservations, expensive tips and annoying stuff."
3005,tips,positive,"NO more reservations, expensive tips and annoying stuff."
3006,stuff,positive,"NO more reservations, expensive tips and annoying stuff."
3007,service,positive,"NO more reservations, expensive tips and annoying stuff."
3008,sea bass,positive,Try the sea bass.
3009,food,positive,Try the sea bass.
3010,sushi,positive,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
3011,sushi places,positive,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
3012,quality,positive,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
3013,food,positive,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
3014,price,positive,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
3015,anecdotes/miscellaneous,positive,I brought some buddies from CA and they loved it.
3016,ambience,conflict,"Inside is a little cramped, but to be expected."
3017,Sushi,neutral,Sushi wasn't anything spectacular for the price.
3018,price,negative,Sushi wasn't anything spectacular for the price.
3019,price,negative,Sushi wasn't anything spectacular for the price.
3020,food,neutral,Sushi wasn't anything spectacular for the price.
3021,management,positive,"During our meal, the management came over and checked on us and even bought us a round of drinks."
3022,meal,neutral,"During our meal, the management came over and checked on us and even bought us a round of drinks."
3023,round of drinks,neutral,"During our meal, the management came over and checked on us and even bought us a round of drinks."
3024,service,positive,"During our meal, the management came over and checked on us and even bought us a round of drinks."
3025,toaster,negative,"But they don't have a toaster, which is strange."
3026,service,negative,"But they don't have a toaster, which is strange."
3027,food,positive,"So, for good food i'd recommend it, but not for a fun night out."
3028,food,positive,"So, for good food i'd recommend it, but not for a fun night out."
3029,ambience,negative,"So, for good food i'd recommend it, but not for a fun night out."
3030,taste,negative,The menu choices are similar but the taste lacked more flavor than it looked.
3031,menu choices,neutral,The menu choices are similar but the taste lacked more flavor than it looked.
3032,flavor,negative,The menu choices are similar but the taste lacked more flavor than it looked.
3033,food,conflict,The menu choices are similar but the taste lacked more flavor than it looked.
3034,Dosa,positive,A must for all the Dosa lovers.
3035,food,positive,A must for all the Dosa lovers.
3036,portions,positive,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
3037,appetizer,neutral,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
3038,entree,neutral,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
3039,food,positive,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people."
3040,appetizers,neutral,The appetizers are just OK and the main courses were decidedly subpar.
3041,main courses,negative,The appetizers are just OK and the main courses were decidedly subpar.
3042,food,negative,The appetizers are just OK and the main courses were decidedly subpar.
3043,dessert,negative,Someone else recommended the dessert - we also left that.
3044,food,negative,Someone else recommended the dessert - we also left that.
3045,exotic food,positive,The exotic food is beautifully presented and is a delight in delicious combinations.
3046,food,positive,The exotic food is beautifully presented and is a delight in delicious combinations.
3047,staff,positive,The staff is very attentive and we can almost always get a table.
3048,table,positive,The staff is very attentive and we can almost always get a table.
3049,service,positive,The staff is very attentive and we can almost always get a table.
3050,anecdotes/miscellaneous,negative,"If you are a vegetarian, this really isn't a good place to go."
3051,mediterranean salad,positive,"Try the mediterranean salad, it is a true experience for your taste buds!!"
3052,food,positive,"Try the mediterranean salad, it is a true experience for your taste buds!!"
3053,anecdotes/miscellaneous,neutral,I'm sure I'll return for a final judgement tho.
3054,ambience,conflict,"Of course, it is crowded but who cares."
3055,anecdotes/miscellaneous,positive,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.
3056,anecdotes/miscellaneous,positive,I've been there three times and have always had wonderful experiences.
3057,People,positive,People are always friendly.
3058,service,positive,People are always friendly.
3059,cream cheeses,positive,The cream cheeses are out of this world and I love that coffee!!
3060,coffee,positive,The cream cheeses are out of this world and I love that coffee!!
3061,food,positive,The cream cheeses are out of this world and I love that coffee!!
3062,entrees,positive,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
3063,sides,positive,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
3064,drinks,positive,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
3065,food,positive,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
3066,anecdotes/miscellaneous,neutral,hmmm.
3067,Service,positive,Service was prompt and courteous.
3068,service,positive,Service was prompt and courteous.
3069,beef version,negative,It was not above ordinary and the beef version had cheap (undercooked) beef.
3070,beef,negative,It was not above ordinary and the beef version had cheap (undercooked) beef.
3071,food,negative,It was not above ordinary and the beef version had cheap (undercooked) beef.
3072,decor,positive,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great."
3073,ambience,positive,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great."
3074,thai,negative,"It was nice and fresh, but I can't give it high scores on being authentic thai."
3075,food,conflict,"It was nice and fresh, but I can't give it high scores on being authentic thai."
3076,price,positive,"Overall, worht every penny."
3077,anecdotes/miscellaneous,neutral,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests."
3078,"club soda, filled with ice, no lime",neutral,"Got club soda, filled with ice, no lime."
3079,service,negative,"Got club soda, filled with ice, no lime."
3080,wine,neutral,"Only wine and beer are served, but the house varities are actually quite good."
3081,beer,neutral,"Only wine and beer are served, but the house varities are actually quite good."
3082,house varities,positive,"Only wine and beer are served, but the house varities are actually quite good."
3083,served,negative,"Only wine and beer are served, but the house varities are actually quite good."
3084,food,positive,"Only wine and beer are served, but the house varities are actually quite good."
3085,owners,neutral,This place must have cost the owners afortune to build.
3086,cost,negative,This place must have cost the owners afortune to build.
3087,anecdotes/miscellaneous,negative,This place must have cost the owners afortune to build.
3088,food,positive,My mouth starts to water merely thinking about the delight that is this restaurant.
3089,anecdotes/miscellaneous,neutral,I haven't been to the other locations.
3090,pudding dessert,positive,"Oh, and the complimentary pudding dessert was just enough- yummy!"
3091,food,positive,"Oh, and the complimentary pudding dessert was just enough- yummy!"
3092,ambience,neutral,People dress in suits or evening gowns as well as shirts jeans.
3093,vegetable samosa,positive,we split a tasty vegetable samosa and the malai tikka wrap.
3094,malai tikka wrap,positive,we split a tasty vegetable samosa and the malai tikka wrap.
3095,food,positive,we split a tasty vegetable samosa and the malai tikka wrap.
3096,chef,negative,Knowledge of the chef and the waitress are below average.
3097,waitress,negative,Knowledge of the chef and the waitress are below average.
3098,service,negative,Knowledge of the chef and the waitress are below average.
3099,food,negative,Knowledge of the chef and the waitress are below average.
3100,drinks,neutral,We were walking around the village and went into this place just for some drinks.
3101,anecdotes/miscellaneous,neutral,We were walking around the village and went into this place just for some drinks.
3102,wine selection,positive,Decent wine selection too.
3103,food,positive,Decent wine selection too.
3104,anecdotes/miscellaneous,positive,Go with a group of friends and you will have a great time.
3105,bar,negative,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime."
3106,waiting,negative,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime."
3107,table,negative,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime."
3108,anecdotes/miscellaneous,conflict,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime."
3109,meal,positive,I have to say I have never had a disapointing meal here.
3110,food,positive,I have to say I have never had a disapointing meal here.
3111,anecdotes/miscellaneous,positive,It's one of our favorite places to eat in NY.
3112,ambience,conflict,"The place does get crowded, so I recommend going between 4-5 PM."
3113,goat cheese,positive,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
3114,panchetta,positive,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
3115,raddichio,negative,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
