index,answer1,answer2,condition,label
1482,Sitting and looking up,Reclining,The position of the person.,5
1483,Laptop.,Laptop,The type of electronic device.,2
1484,Stationary,Motionless,The animals current speed.,5
1485,Sofa,Purple chair,The furniture.,4
1486,Baseball.,Baseball.,The type of sport.,3
1487,Batting,Batting,The action of the batter.,2
1488,Giraffes.,Giraffes.,The type of animals.,5
1489,One person.,Two people.,The number of people.,3
1490,Swing and miss.,Baseball Play,The action of man.,5
1491,Catcher readiness,Running and swinging,The change of game.,2
1492,Surfboard.,Surfboard,The object the person is holding.,4
1493,Dog,No animal.,The animal near the person.,2
1494,One,One,The number of animals.,4
1495,Cat,Dog,The type of animal.,1
1496,Not specified.,White,The color of product.,3
1497,Furnished bedroom,Furniture.,The type of product.,2
1498,Ski jumping.,skiing,The activity.,4
1499,Skiing,Skiing,The game being played.,3
1500,Female.,Male,Gender.,5
1501,Rainy,Rainy,Weather condition.,3
1502,Skateboarding,Skateboarding,Type of recreational activity.,4
1503,Skater's crouch,Skateboarding,Pose of the person.,1
1504,Not specified,Passenger count.,The number of people.,4
1505,Transportation,Railway transportation,The type of work.,3
1506,Skateboarding.,Skateboarding,The sport.,5
1507,One,One,The number of people.,2
1508,Cows,Cow,Type of animal.,2
1509,Three,Two cows,Number of animal.,1
1510,Edible donuts.,Food,The objects are edible.,4
1511,Peanut Donuts,Cakes,One of the objects are chocolate covered.,1
1512,Two people,**Two**,The number of people.,5
1513,Browsing on laptop.,"""TV on laptop""",Type of watching.,4
1514,Master Bedroom,Standard Room,The type of room.,2
1515,Two items.,Three.,The number of objects.,1
1516,Surf n' Turf,Dinner plate.,The name of the object.,4
1517,White,Green,The color of the plate.,3
1518,Red,Not mentioned,The color of object.,4
1519,Grating vegetables.,Baking.,The cooking.,2
1520,Driving,Bicycling and busing on the same street.,The activity of people.,5
1521,Vehicle,Bicycle,The object.,3
1522,Cats,Cats,The animal.,4
1523,On the refrigerator,Bathroom counter.,The place.,1
1524,Two players.,Three players.,The number of players.,5
1525,Baseball field,Rundown.,The name of the place.,3
1526,Group,Six.,The number of people.,4
1527,Kite flying.,Kit boarding,The hobby of people.,3
1528,Umbrella Hat,Umbrella,The circular object.,5
1529,Waterfront.,City street,The outdoor location.,5
1530,Sauce,Side Sauce,The liquid.,4
1531,Dinner Pie,Brown rice and broccoli,The main element of the meal.,3
1532,Carrots,Three.,Number of different vegetables.,2
1533,Knife,Knife and peeler,Type of cutlery present.,2
1534,Kitchen,Kitchen,The room type.,4
1535,Appliance types: Kitchen appliances.,Microwave,The appliance type.,1
1536,Bi-winged airplane,Biplane,The vehicle type in the image.,5
1537,Unknown,World War One,The location of the picture.,4
1538,Excessive effort,Minimal,The level of effort.,3
1539,Cat,Cat,The type of animal.,3
1540,Horses,Horses.,The type of animals.,4
1541,Unknown,Young,The age of the animals.,1
1542,Winter Scene,Winter Park.,The name of place.,4
1543,Car,Snow-covered field,The vehicle with brake lights.,2
1544,One,One,The number of people.,5
1545,Tennis ball.,Tennis ball,The name of the ball.,3
1546,Different places,Different locations,The places are different.,3
1547,Time indication,Christmas tree decorating,The object are activity.,2
1548,Office supplies,Electronics,The type of objects on the desk.,2
1549,Desk,Desk top,The type of furniture.,2
1550,Hot,Hot,The beverage's temperature.,4
1551,Fruit and beverage,Scones or pastries,The food type.,1
1552,Giraffe,Giraffe,The name of the animal.,3
1553,Three,2 giraffes,The number of the animal.,2
1554,Sandwich,Sandwich and chips.,The type of food.,5
1555,Three items,Three items,The number of food.,3
1556,Kitchen,Kitchen,The room type.,5
1557,The number of bottles: unspecified,Not applicable.,The number of bottles.,1
1558,"One bed, one blanket, one nightstand",Three,The number of products.,4
1559,Bedroom furniture.,Bedding,The type of product.,2
1560,Baby,Infant,The age of the person.,4
1561,Fast Food,Vegetable,The type of food.,4
1562,Two Objects,Two items,The number of object.,3
1563,Kitchen,Kitchen,The place is kitchen.,2
1564,Brown bundt cake.,Pound cake,The covered.,4
1565,Bundt cake,Pound cake,The cake.,3
1566,Two animals,Two,The number of animal.,3
1567,Giraffe,Giraffes.,The animal.,2
1568,Foreground Birds,Birds,The presence of birds.,4
1569,Beach,Beach.,The type of location.,3
1570,Baby,Standing on toilet seat,The baby.,4
1571,Brushing teeth.,Standing by the toilet,The activity.,1
1572,Baseball,Baseball,The name of the game.,5
1573,Baseball field,Baseball Stadium,The name of the place.,4
1574,Elephant,Elephant,The animal.,3
1575,Elephant enclosure,Riverside,The location.,1
1576,Unknown,One bed.,The number of known beds.,5
1577,Hospital,Hospital,The type of building it is.,3
1578,The color of the object is not specified.,Blue and white,The color of object.,4
1579,Baseball.,Baseball,The sport.,2
1580,Baseball.,Baseball.,The activity.,5
1581,Baseball,Baseball,The game being played.,2
1582,Double Room,Standard room,Type of room.,5
1583,Two beds,Single bed,Number of beds.,2
1584,Immaculate,Tidy and spacious,The cleanliness of the room.,4
1585,Medium-sized,Open-concept.,The size of the room.,3
1586,Plate,Plate,Type of container to hold food.,5
1587,One plate,Multiple,Number of plates.,3
1588,Pizza,Pan pizza,The food.,4
1589,On a plate,Cutting board,The location of the food.,1
1590,Bathroom.,Bathroom,The type of room.,5
1591,Unfinished.,Painted wood walls,The condition of the walls.,4
1592,Zoo.,Zoo,The name of the place.,3
1593,Elephant,Elephant,The name of the animal.,3
1594,Motorcycle,Motorcycle,The vehicle.,3
1595,Street intersection,Racetrack,The location.,1
1596,Professional kitchen,Kitchen,The room's ownership.,5
1597,Professional kitchen,Kitchen,The room's function.,5
1598,On tracks,Steam locomotive,The train.,3
1599,Grassy patch.,Green,The grass.,1
1600,One,one person,The number of people.,5
1601,Sleeping.,Sitting.,The activity of people.,3
1602,Tennis swing,Tennis,The activity of the player.,5
1603,Tennis,Tennis,The name of the game.,3
1604,Five items.,Two dishes.,The number of dish.,5
1605,Lunch platter.,Biscuits and gravy with sweet potato fries.,The dish.,3
1606,Open-faced sandwich,Three hotdogs,The dish.,3
1607,Food items on plate,White,The color of object.,2
1608,Baby,Infant,The age of the person.,4
1609,Sitting on clothes washer.,Baby on floor,The position of the person.,3
1610,Plate.,Plate,The flat dish.,5
1611,Sandwich,Hot dogs with potato,The food.,1
1612,Pizza,Pizza,The type of food.,5
1613,One,Zero,The number of beverages.,2
1614,Baseball,Baseball,Type of sport.,3
1615,Two people,Crowd,Number of people.,2
1616,Dining room display,Mantle decorations,The objects nearby.,2
1617,Floral arrangement,Ornate decorations,The type of decorations.,1
1618,Field,Tee,The place of hitting.,4
1619,Softball,Golf ball,The boy hitting the ball.,4
1620,Skatepark,Indoor skate park,The name of the place.,4
1621,Skateboarding,Skateboarding,The name of the game.,4
1622,Toaster oven,Oven,The type of appliance.,4
1623,Electricity,Electricity.,The power source.,3
1624,Plate,Sauce dish,Type of food holding dish.,5
1625,Mixed Meal,Non-vegetables included,Inclusion or exclusion of non-vegetables.,4
1626,Pizza toppings,Prepping pizza.,The actions.,5
1627,Exotic pizza,Pizza,The name of the dish.,4
1628,Desk-bed room,Living Room,The home.,2
1629,Room layout,Opposite Windows.,The different sides.,2
1630,Solving a puzzle,Resting,The name of the action.,3
1631,Cat,Cat,The name of the animal.,2
1632,Toilets,Bathroom,The name of the object.,5
1633,Bathroom,Bathroom,The name of the place.,4
1634,Two people,One.,The number of person.,2
1635,Snowy mountain,Mountain.,The name of place.,1
1636,Bedroom decor,Bed linens,The name of the object.,5
1637,Bedroom,Bed,The place of the object.,4
1638,Man in mirror.,Mirror,The reflectivity.,5
1639,Two sinks,Bathroom fixtures,The fixtures.,4
1640,Many.,Vehicles,The number of object.,5
1641,Not applicable.,Green.,The color of object.,4
1642,Toilet,Two objects.,The number of object.,4
1643,Temperature-controlled toilet,Bathroom,The place.,3
1644,Furniture,Kitchen cart,The name of the products.,4
1645,Dining Room,Kitchen,The name of the room.,2
1646,Two people,One person.,The number of persons.,5
1647,Tennis racket,Tennis racket,The type of the holding object.,5
1648,Kitchen counter,Antique-themed kitchen,The place kitchen.,5
1649,Kitchen Setup,"Antique wood, pastel blue, large fruit design, mosaic table.",The kitchen with properties.,4
1650,Skiing,Downhill skiing,The sport.,5
1651,Ready to take off,Fast,The speed of the person.,2
1652,Male,Male,The gender.,5
1653,One person.,One person,The number of people.,2
1654,Kite flying,Kite flying,The outdoor activity.,5
1655,Two objects,Multiple,The number of objects.,4
1656,One,1,The number of dogs.,4
1657,One,Two animals,The number of animals.,4
1658,Lunch Pack,Sandwich with salad and ketchup,The type of food.,3
1659,Pickle,Ketchup,The type of condiment.,1
1660,One,One,The number of people.,5
1661,Dark,Dim,The brightness of the room.,3
1662,Baseball,Baseball.,The sport being played.,3
1663,Three,One,The number of people.,1
1664,Empty dorm room,Tidy,The room.,4
1665,Lamp,Bright,The light.,2
1666,Water with submerged elephant.,Canoe,There is a body of water.,4
1667,Three,Four,The number of people.,2
1668,Living room,Living room,The place.,4
1669,Wood-colored,White,The color of object.,4
1670,Well-lit room,Bathroom,The name of the place.,5
1671,Room,Bathroom,The place of the object.,4
1672,Train,Subway train.,The vehicle.,4
1673,Stationary,Train Platform Crowd,The movement.,1
1674,Dogs Driving Car,Viewed from Side Mirror,The name of the vehicle.,5
1675,Dogs,Unknown,The name of the person.,4
1676,Doughnut,Table Setting,The name of the object.,4
1677,Pink,Pink,The color of the frosted doughnut.,3
1678,Platter,Bowl with ingredients,The plate.,4
1679,Vegetable platter and dips.,Healthy salad,The all are eat.,4
1680,White,Yellow,The color of the bowl.,2
1681,Carrots and cabbage,"""Lemon wedges""",The name of the vegetables.,2
1682,Roadside parking,Parking Lot,The type of location.,2
1683,Multiple,Unclear.,The number of meters.,1
1684,One person.,Multiple,Number of people.,5
1685,Wii,Wii,What gaming system.,5
1686,Home office,Workspace.,The room type.,5
1687,Sufficient.,Direct light,The lighting.,4
1688,Sandwich,Absent,The presence of bread.,3
1689,One banana.,No fruit.,The amount of fruit.,1
1690,Four clocks,One clock.,The number of clocks.,3
1691,Clock Tower,Clock.,The building's feature.,2
1692,Dog,Dog.,The animal type.,4
1693,Adult,Adult.,The person's age.,2
1694,Several,Group of Women; 1 Man,The number of people.,4
1695,Food,Unknown,The dish.,1
1696,Horse,Horses.,The name of the animal.,5
1697,1 horse,Two,The number of animal.,5
1698,Age.,Unknown,The player's age.,4
1699,Tennis,Tennis,The game played.,3
1700,Kitchen,Kitchen.,The name of the room.,5
1701,Kitchen utensils,Pan,The name of the vessel.,5
1702,Horses,Horses,The animal.,4
1703,Horses,Multiple horses,The number of animal.,4
1704,Single room,1,The number of room.,4
1705,Early American,Living room furniture,The type of furniture.,3
1706,Variety,Mixed meal.,What kind of food.,4
1707,Near.,Table setting,Where food is.,2
1708,Intersection,Intersection,The location.,4
1709,Mixed traffic,Intersectioncyclistwaitingothers,The vehicles.,1
1710,Field,Green field,The place grazing.,5
1711,Two sheep,Two lambs,The number of sheep.,5
1712,Upstairs living room.,Cozy living room.,The living room.,4
1713,Living room upstairs.,Living Room,The view.,3
1714,Mixed vegetables,Carrots and greens,Type of vegetables.,3
1715,Blue,Green,Color of plate.,3
1716,Snacks,Leftover Food,The all are food.,5
1717,Plate of Hot Dogs and Chips,Leftover meal,The plate.,3
1718,Outstretched arms,Umbrella at the window,The items near the opening to the room.,5
1719,Bed with open closet.,Bed,The furniture.,2
1720,Kite flying,Kite flying,The type of hobby.,5
1721,6 people,One,The number of people.,3
1722,Surfing,Beach Volleyball,The name of the game.,5
1723,Unavailable,White.,The color of the sundress.,3
1724,Female,Female,The older person's gender.,5
1725,Celebration,Fruit,The people's attention.,3
1726,Doughnut,Snack,The type of food.,5
1727,One.,Four,The number of beverages.,2
1728,Landmark,Big Ben,The name of the device.,4
1729,Landmark,Clock tower,The type of device.,3
1730,Bathroom,Bathroom,The rest room.,5
1731,Hair drying,Grooming.,The activity.,3
1732,Train,Train,Type of vehicle.,5
1733,Trains.,One.,Number of vehicles.,3
1734,Soup and sandwich,Sandwich,The type of meal.,5
1735,Sandwich and Soup,Sandwich and salad.,The types of food.,4
1736,City Street,Intersection,The place.,4
1737,Multiple,One,The number of object.,3
1738,Three people.,Three people,The number people.,4
1739,Ski resort.,Snowy mountain,The place of standing.,4
1740,Bathroom,Bathroom.,The place.,4
1741,3 objects,Four fixtures.,The number of object.,4
1742,Ear-tagged cow,Cows,The animals.,5
1743,Two cows,Many,The amount of animals.,1
1744,Ready to serve,On court.,The position of the person relative to the court.,5
1745,Tennis.,Tennis,The type of sport being played.,2
1746,White,White,The plate's color.,5
1747,Fork,Spoon,The cutlery type.,3
1748,Giraffe,Giraffes,The animal.,5
1749,Multiple,Two giraffes,The number of animal.,2
1750,Bathroom,Bathroom,The place.,4
1751,White,White,The color of object.,2
1752,Airplane,Airplane,The vehicle type.,2
1753,Not Applicable,Parked,The vehicle's speed.,1
1754,Jump.,Snowing,The weather.,3
1755,Jumping,Snowboarding,The means of traversal.,1
1756,Catching Frisbee.,Throwing,The action of the boy.,4
1757,Name N/A,Unidentifiable,The name of the boy.,2
1758,One person,One,The number of people.,3
1759,Dog,Cat,The type of animal.,1
1760,Baseball,Baseball,The name of the game.,5
1761,Two individuals,Three.,The number of people.,2
1762,Four signs.,76,The number of sign.,4
1763,Signage,W 76 St,The sign.,1
1764,Coffee,Coffee,The type of beverage.,5
1765,Two cups,One cup,The number of cups.,2
1766,Dog,Dog,The name of the animal.,2
1767,two dogs,One,The number of animal.,2
1768,Pastries and custard.,Desserts,The type of food.,3
1769,Dessert platter,Nuts and powdered sugar,The plate with food.,3
1770,Hotel,Bathroom,The name of the place.,5
1771,Housekeeping,Placing toilet paper,The action of the place.,4
1772,One person.,One,The number of person.,5
1773,Standing,White,The color of the person.,1
1774,Tennis,Tennis,The sport being played.,5
1775,Unknown,Unknown,The age of the person.,4
1776,Train,Train,The type of transport.,5
1777,Red,Red and yellow,The color of train.,3
1778,Connection flexibility,Organization.,The advantages.,3
1779,Furniture.,Workstation,The table.,2
1780,Two.,Three people,The number of people.,5
1781,Teenager,Youth,The rider's age.,4
1782,Breakfast Set,Dunkin Donuts,The name of the object.,5
1783,Three,8 (missing),The number of donuts.,5
1784,Bathroom,Bathroom,The type of room.,5
1785,Bathroom Fixtures,Bathroom layout,The location of other items.,5
1786,Cell phone,Cell phone,The electronic device.,3
1787,Multitasking,Finger coordination,The dexterity required.,2
1788,Dog,Reflection,The animal on the computer screen.,5
1789,Laptop,Computer,The type of electronic.,4
1790,Cats,Cat,The animal.,5
1791,Bed,Computer Desk,The different place.,2
1792,Shopping for convenience items,Shopping for alcohol,The person's sentiment.,4
1793,One person.,Two women,The number of people.,1
1794,Cat,Cat,The type of animal.,5
1795,Grey cloth and two staplers.,Cat with Wii remote.,The animal's surroundings.,3
1796,Bathroom fixtures,Bathroom vanity,The type of product.,4
1797,Three items.,Two sinks,The number of product.,4
1798,Floral bedspread,Three beds,The bed.,3
1799,1,Three,The number of bed.,1
1800,Bedroom furniture,Hotel bedroom essentials.,The type of objects.,5
1801,Bedroom,Standard hotel room,The type of room.,4
1802,Two items,Five items.,The number of separate items.,3
1803,One item.,Two bowls,The number of edible food.,1
1804,Passenger-side view,Imagination,The view of world.,2
1805,Passenger-side view,Scenic Ocean View,The type of view in vehicle.,1
1806,Police officers,Police officer,Occupation.,5
1807,Two,1,Number of motorcycles.,3
1808,One cow.,One cow,The amount of cows.,4
1809,Lean,Large,The size of the cow.,1
1810,Horses,Horses,The animal.,5
1811,Two horses,Four,The number of animal.,3
1812,Elephants.,Elephants,The animal.,5
1813,Two elephants,Three,The number of animal.,2
1814,Outlandish headgear,Victorian Dress,The type of clothing.,2
1815,Female,Female,The sex of the person.,2
1816,Elephant,Elephant,The name of the animal.,5
1817,Group of people,One rider.,The number of people.,1
1818,Motorcycles.,Two vehicles,The name of the vehicle.,5
1819,Red & Orange,Blue,The color of vehicle.,2
1820,Overlapping street signs.,Partial Stop Sign,The sign.,4
1821,Multiple,1,The number of sign.,4
1822,Surfing enthusiasts.,Surfers.,They are talking about people who loves to surf on the beach.,3
1823,Beach photoshoot with surfboards.,Surfers preparing.,Maybe the persons on the oration are preparing the stuff to surf and spend some time on the beach.,3
1824,Stuffed teddy bears,Stuffed animals,The type of toy.,4
1825,Accessories: none,Key and red jacket,The toy's accessories.,1
1826,Sheep,One sheep.,The number of animal.,5
1827,Sheep,Sheep,The animal.,5
1828,Chopping Board,Cutting board,The type of protective cooking utensil.,5
1829,Food ingredients,Vegetables and fruits,The type of ingredients.,5
1830,Giraffes.,Giraffe,The animal.,3
1831,Three animals.,One,The number of animal.,1
1832,Large,Average,The size of food.,4
1833,Sausage sandwiches with onions,Hot dog,The food.,3
1834,Skateboarding,Skateboarding,The recreational activity.,4
1835,Youngster,Unknown,The age of the skateboarder.,2
1836,Fruit Art,Fruits,The edibility.,5
1837,Smiley face fruits.,Oranges and banana.,The fruits.,2
1838,Laptop with decorative items,Desk setup,The objects.,2
1839,Laptop,Laptop,The device.,2
1840,Two,Four,The number of signs.,4
1841,Intersection sign,Stop sign,The type of sign.,3
1842,Cat,Cat,The name of the animal.,4
1843,TV remote,Name of object: Cat,The name of the object.,3
1844,Many umbrellas,Multiple,The number of person.,3
1845,Umbrellas,Umbrella,The name of the object.,3
1846,Food display,Preparation.,The object's purpose.,4
1847,Assorted dishes,Vegetables,The type of food.,4
1848,Bathroom,Bathroom,The type of room.,4
1849,Bath tub.,Walk-in shower,The bathing area.,4
1850,Train,Train,The kind of transport.,4
1851,South,Approaching bend,The direction of travel.,4
1852,Multiple,Seven,The number of object.,4
1853,Bedside items.,Packing.,The activity of people.,2
1854,Bus,Bus,The name of the vehicle.,4
1855,Street,Multiple vehicles,The name of the place.,2
1856,Steel,Cement,Material enclosure is make of.,4
1857,Zoo exhibit,Zoo,Type of attraction.,3
1858,Skateboarding,Skateboarding,The outdoor activity.,4
1859,Store Steps,Skateboard park,The location.,3
1860,4 objects,Three objects,The number of object.,5
1861,Bathroom with garden tub,Bathroom,The place.,4
1862,Living Room,Living room,The room.,4
1863,Not specified,white,The color of object.,4
1864,Baseball,Baseball,The sport.,5
1865,Pre-game Stretching,Game in progress.,The stage of the game.,4
1866,Relaxed privacy,Cozy bedroom,The bedroom setting.,2
1867,Occupied.,Occupied,The occupancy.,1
1868,Reflection,Mirror,The means of seeing.,5
1869,Two,Zero,The number of animals.,3
1870,Motorcycle parking,Motorcycling,The activity.,4
1871,Near a House,Motorcycle,The motorcycle.,3
1872,Various fruits.,Assorted fruits,The name of the fruit.,5
1873,Various fruits,Multiple fruits,The type of fruit.,4
1874,Baseball,Baseball,The sport played.,4
1875,Baseball.,Batter awaiting pitch.,The view of the sport played.,3
1876,Desk,Workspace,The place of the object.,5
1877,Desk,Desk,The name of the object.,4
1878,One person.,Three.,The number of people.,5
1879,Donuts,Doughnuts,The type of dish.,3
1880,Seven objects.,Multiple objects,The number of object.,4
1881,Ham,Food prep.,The object.,2
1882,horse,Horse,The name of the animal.,5
1883,Brown.,Brown,The color of the animal.,2
1884,Computer,Computer,The electronic device.,4
1885,One monitor.,Dual,The number of monitors.,2
1886,Button-activated,Flashing green.,The type of the light.,5
1887,One person.,Group,The number of people.,4
1888,Bathroom.,Bathroom,The type of room.,5
1889,White,White,The room's color.,3
1890,Open laptop,Apple Computer,The computer.,4
1891,Online browsing,Workspace setup,The activity.,3
1892,Holstein cow,Cow,The animal.,3
1893,Holstein cow behavior,Farm animal monitoring,The activity.,2
1894,Baseball,Softball,The game being played.,4
1895,Two people,Two people,The number of people.,2
1896,Blue,Unavailable,The color of the shorts.,3
1897,Elephant,Elephant,The name of the animal.,3
1898,Depot,Stationary,The vehicle's speed.,3
1899,Train,Train,The type of vehicle.,2
1900,Computer Setup,"Computer desk with laptop, keyboard, and mouse",The object.,5
1901,Three monitors and several touch pads,Four objects,The number of object.,2
1902,Living Room,Simple bedroom,The type of room.,2
1903,Residential,Residential.,The type of building.,2
1904,Cakes.,Tiny toy doll donuts.,The food on plate.,2
1905,Dessert,Tiny toy doll donuts.,Type of food.,1
1906,Hand towel missing,No hand towel,The absence of hand towel.,4
1907,Kitchen,Kitchen,The place.,4
1908,Unconventional burger,Gyro plate.,The type of meal.,5
1909,Burger,Mediterranean cuisine.,The type of food.,4
1910,Dinnerware,Plate,The name of the object.,4
1911,Arrangement.,Food preparation.,The activity of the object.,2
1912,Bed,Bedroom,The place of the object.,5
1913,TV tray,Bedroom furniture,The name of the object.,3
1914,Various flavors,Mixed flavors,The flavors.,4
1915,Variety of food,Food items,The type of items stored.,3
1916,Metal Fence,Post,The surface being sat on.,3
1917,One,One,The number of animal.,2
1918,Scissors,Scissors,The type of cutting implement.,4
1919,Tabletop.,On the floor,The height of the objects relative to the floor.,2
1920,Stationary,Takeoff.,The motion.,5
1921,Fighter plane,Airplane.,The vehicle.,4
1922,Beige table,Table,The surface holding the food.,4
1923,Muffins,Assorted baked goods.,The type of baked goods.,3
1924,Sandwich,Sandwich,The food.,5
1925,Large,Medium,The size of food.,2
1926,Trough,Hay cart.,The place the animals eat from.,4
1927,Zebra,Zebra.,The type of animal.,2
1928,lying,Lying down,The people's posture.,4
1929,One,Two,The number of people.,2
1930,Living Room,Small room,The location.,3
1931,Medium,Small.,The size.,3
1932,Indoors,Indoor living room,The rooms are indoors.,4
1933,Computer,Flat screen TV,The type of electronics.,2
1934,Bed,Bedroom,The name of the place.,4
1935,Unknown,White,The color of the bedspread.,2
1936,Blue and white building,Wall by window,The location.,5
1937,Four objects,Multiple,The number of objects.,4
1938,Combo meal,Large,The size of dish.,3
1939,Skewers with fries and a drink.,Sandwich.,The dish.,2
1940,Jacuzzi tub,Full-size,The tub.,5
1941,Luxurious spa-like bathroom,Bathroom.,The room.,2
1942,Dollhouse bathroom fixtures,Bathroom fixtures,Type of objects.,4
1943,Dollhouse bathroom with toilet objects,Toilet and sink with mirror.,The bathroom with toilet objects.,3
1944,Legs on bed,TV,The object.,5
1945,Watching TV,Watching TV,The activity of people.,4
1946,Electronics,Technological equipment.,Presence of electronics.,2
1947,Soda,No drink present.,Presence of a drink.,1
1948,Computers, Computer desk,The furniture.,3
1949,Computers,Computer setup,The electronics.,2
1950,One,One person.,The number of person.,5
1951,Skateboarding,Skateboarding trick.,The type of work.,4
1952,Cat,Cat,The animal.,5
1953,Self-reflection,Eating snack,The activity.,2
1954,Using laptops,Using devices.,The activity of people.,4
1955,Three people.,Two people.,The number of people.,1
1956,Two.,One person.,The number of people.,3
1957,Tennis,Tennis,The sport played.,2
1958,One,One,The number of person.,4
1959,Unnamed,Unidentified,The name of the person.,4
1960,Two people,One.,The number of persons.,4
1961,Skateboarding,Skateboarding,The name of the game.,3
1962,Giraffes.,Giraffes,The type of animal.,5
1963,Three,Two,The number of animals.,1
1964,Furniture.,Bedroom furniture and linens.,The type of product category there is.,3
1965,One bed,Beds,The amount of beds.,1
1966,Cake,Birthday cake,The dish.,3
1967,Feeding baby,Birthday celebration,The activity of people.,2
1968,Train,Train,The type of transportation.,5
1969,Metal on Track,Onlookers,The type of objects present.,4
1970,Living room,Living Room,The room type.,5
1971,Room layout.,Room Layout,The closeness of walls.,1
1972,Two.,Two skiers,The number of people.,3
1973,Downhill,Sitting,The peed of skiers.,2
1974,Tennis,Tennis.,The sport being played.,5
1975,Field,Tennis court,The location of the sport.,1
1976,2 objects,3 objects.,The number of object.,3
1977,Living room,Hotel room,The place.,2
1978,Flower Bed,Orange pillows,The bed with comforter.,3
1979,Purple and green.,Orange,Color of pillows and lamp.,3
1980,On tracks,Old Steam Engine,The train of steam engine.,3
1981,Transportation.,Old steam train,The rail road.,3
1982,Intersection pole,Stop sign,The sign.,4
1983,Two,One.,The number of sign.,3
1984,Ingredients,Vegetables,The type of food.,4
1985,Cutting Board,Cutting board,The surface holding the food.,4
1986,Furnished with seating and entertainment,The living room,The living room.,5
1987,Furnished.,Semi-circle couch,The properties on living room.,2
1988,Young,Young,Age of person.,5
1989,Kite and ball,Airplane.,What is in the sky.,1
1990,Video gaming,Video gaming.,The type of play.,4
1991,One,One,The number of person.,3
1992,Skateboarding,Skateboarding.,The type of work.,4
1993,Skateboarding.,Skateboarding,The name of the game.,2
1994,Baseball,Baseball,The name of sport.,5
1995,Swinging a baseball bat,Getting hit,The action of player.,2
1996,Facing Down,Towards cavern.,Direction of giraffe's gaze.,5
1997,Giraffe,Giraffe,Type of animal.,2
1998,Furnished living room.,Bay window,The living room of human being.,3
1999,Living room,House suite,The type of place.,3
2000,Furniture,Seating.,The presence of seating.,4
2001,One,Two floors.,The number of floors.,3
2002,Neon green.,white,The color.,4
2003,Male,Male,The gender.,3
2004,Seagulls,Unknown,The name of the bird.,3
2005,Four,one,The number of birds.,3
2006,City Street,Intersection,The type of location.,4
2007,Three.,Group,The number of people.,2
2008,Yellow rose,Table setting,The plants.,4
2009,One,Three,The number of plants.,2
2010,Airplane,Airplane,The type of vehicle.,4
2011,Airspeed,Stationary,The speed of the vehicle.,1
2012,Two.,One,The number of signs.,5
2013,Intersection.,Stop sign with wildflowers,The location outside.,3
2014,Skateboard,Skateboard,The type of item being used.,5
2015,Number 1,Art object,Where the trick is taking place.,1
2016,Land Transport.,Train,The type of transport.,3
2017,Two vehicles.,Train,The number of vehicles.,2
2018,Motorcycle,Motorcycle,The type of vehicle.,5
2019,Motorcycles,Multiple vehicles,The variety of vehicles.,1
2020,City Street,Advanced signalm.,The road.,5
2021,Traffic Signals.,Advanced stop light signals,The type of signals.,2
2022,Photography,Relaxing.,The type of work.,3
2023,Not applicable.,One person.,The number of people.,1
2024,Dessert,Donuts,The type of food.,4
2025,One doughnut,Four donuts,The quantity of food.,3
2026,Baggage carousel,Large building,The location of the baggage.,4
2027,Luggage.,Yellow-tagged luggage,The objects used by the people.,3
2028,Throwing Frisbee,Catching a Frisbee,The action being performed.,4
2029,Frisbee,Ultimate Frisbee,The game.,4
2030,Kitchen,Kitchen with appliances.,The setting.,3
2031,Household items,Kitchen furniture and appliances,The type of objects.,2
2032,Bathroom,Bathroom,The place is toilet.,5
2033,Floor-standing,Small,The size of toilet.,4
2034,Exterior fixtures,Stop sign,The objects are equal.,4
2035,White,Unknown,The color of the hydrant.,2
2036,Fast Food Options,Meal combo,The food.,4
2037,Diverse menu,Three items,The number of food.,2
2038,Bedroom,Indoor Living Space,The type of area involved.,5
2039,"Bed, lamp, bookshelf, television.","Room items: Pictures, computer monitor, table, yellow bowl, rug",The items in the room.,1
2040,Ample seating,Plenty of seating.,There are multiple places to sit.,4
2041,Colorful Wood Room,Dining Room,The room type.,2
2042,Various fruits.,Fruit salad,The fruit.,4
2043,"Fruits: citrus fruits, apples",5 fruits,The number of fruit.,1
2044,One dish,Unknown,The number of dish.,5
2045,Close-up plate with drink,Broccoli with meat,The dish.,3
2046,Ski resort.,Snowy valley,The name of the place.,4
2047,Many people,Group,The number of people.,2
2048,White,Black,The color of cloth.,4
2049,Bathroom,Bathroom,The name of the room.,3
2050,Two-tone tile design.,Plain and elegant,The room's design.,3
2051,Bathroom,Bathroom,The type of room.,3
2052,Bus,Red bus,The name of the vehicle.,5
2053,Parked,Being towed,The action of the vehicle.,1
2054,Rainy,Rainy,The weather.,3
2055,Distorted.,Not provided.,The distance from water.,2
2056,1 beverage,No beverages.,The number of beverages.,4
2057,Plate,Plate,The surface for food.,3
2058,Pizza slices,Pizza,The dish.,4
2059,One.,One dish.,The number of dish.,2
2060,Seated with food,Eating.,The man with food.,5
2061,Displaying meal,Using smart phone,The action of man.,3
2062,Bus,Bus,The name of the vehicle.,5
2063,Driving.,Boarding passengers,The activity of the vehicle.,2
2064,Personal hygiene.,Photographing bathroom,The activity.,5
2065,Washbasin,Bowl sink.,The sink.,5
2066,Airport apron,Airport,The name of the place.,4
2067,Ground vehicles,Airplane,The name of the vehicle.,3
