text,condition,label,score
"That 's very possible , but since they do n't make Windows XP drivers for the sound card in this machine , I was stuck until Windows 7 came out .",Windows XP drivers,Negative,0
Keyboard is reasonable size .,Keyboard,Positive,2
"Most everything is fine with this machine : speed , capacity , build .",build,Positive,2
The screen is bright and the keyboard is nice ;,screen,Positive,2
I had something else go wrong and they said it had to be in good working order to be able to buy the warranty .,warranty,Negative,0
It has easy to use features and all the speed and power I could ask for .,speed,Positive,2
But guess what ? -LRB- you have to buy an external dvd drive it does n't have a built in type -RRB- The notebook ca n't be used because it does n't read anything for an external drive .,external dvd drive,Negative,0
Other than that its a great performing machine and well meets all my needs and more .,performing,Positive,2
"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .",firewall,Neutral,1
See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it .,operating system,Neutral,1
The large screen also helps when you are working in design based programs like Adobe Creative Suite .,design based programs,Neutral,1
"Three weeks after I bought the netbook , the screen quit working .",screen,Negative,0
"The battery life , before the battery completely died of course , left much to be desired .",battery life,Negative,0
I have been very pleased with the performance of this laptop .,performance,Positive,2
"All of the programs -LRB- Keynote , Pages , Numbers -RRB- have an option to save your documents as Microsoft compatible , which really eliminates the need for the actual .",Pages,Neutral,1
It is easy to go from one keyboard to another .,keyboard,Neutral,1
"The guy then said that if I insist on having the hinge tightened , they can do it for me but I have to accept the condition after the `` repair '' .",hinge,Neutral,1
It does not even have the software to play a dvd now .,software,Negative,0
The screen gets smeary and dusty very quickly and it 's very noticeable .,screen,Negative,0
The battery life is also relatively good .,battery life,Positive,2
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc. .",priced,Negative,0
Second HDD cover has walls inside that need to be broken if you what to install one .,HDD cover,Neutral,1
"Laptop was in new condition and operational , but for the audio problem when 1st sent for repair .",audio,Negative,0
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen .,screen,Neutral,1
"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .",longevity,Positive,2
"It 's graphics are n't bad at all , for the lower end of the MacBook Pro spectrum , easily capable of running StarCraft II and other games with comparable graphics .",graphics,Neutral,1
This is my first Dell I heard their customer service was lacking and that they were working on improving it !,customer service,Negative,0
It 's even easy to hook up to other wireless networks .,hook up to other wireless networks,Positive,2
"-LRB- If you ever see the spinning beachball come up when you think it should n't , check the `` Activity Monitor '' app to see if the disk throughput has temporarily dropped to zero .",spinning beachball,Negative,0
I wish the volume could be louder and the mouse didnt break after only a month .,mouse,Negative,0
"They said that my computer was covered on an extended warranty , and that products with extended warranties are taken care of through third parties and not Sony itself anymore .",extended warranty,Neutral,1
It weighed like seven pounds or something like that .,weighed,Neutral,1
"Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .",style,Positive,2
This computer I used daily nice compact design .,design,Positive,2
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing .,computing,Negative,0
Another thing is that after only a month the left mouse key broke and it costed $ 175 to send it in to fix it .,left mouse key,Negative,0
The only bad part is the size / weight .,size,Negative,0
I would rather spend my money on a computer that costs more then a Toshiba that is n't good at all .,costs,Negative,0
"Its Office compatible , but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs .",functioning,Neutral,1
A longer battery life would have been great - but it meets it 's spec quite easily .,spec,Positive,2
"My dad has one of the very first Toshibas ever made , yes its abit slow now but still works well and i hooked to my ethernet !",works,Positive,2
"I noticed windows has a new system called Windows 7 , what about us Vista users ? They should get all the bugs out of Vista before investing in a new system .",Vista,Negative,0
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone .,hard drive,Negative,0
"Apple is always great about the aesthetics of things , they always come up with good looking products .",aesthetics,Positive,2
"The apple systems are over priced luxurys that ar n't worth what they are being charged for , this model 's specifications are far from being impressive and they only thing you get out of this is the apple name .",specifications,Negative,0
"I wish iWork or MS Office came with the Mac , but MS Office does n't even come with most pc laptops .",MS Office,Negative,0
After 20-30 min the screen of the notebook switched off .,screen,Negative,0
although its windows vista compared to windows xp sucks .,windows xp,Positive,2
"Eventually my battery would n't charge , so unless I had it plugged in it would n't even power on .",battery,Negative,0
"Yes , the computer was light weight , less expensive than the average laptop , and was pretty self explantory in use .",use,Positive,2
PC never worked right even after BIOS fixed .,BIOS,Negative,0
"They gave me a hard time yet again , but their was a malfunction in the battery itself , it did n't die .",battery,Negative,0
"The OS is also very user friendly , even for those that switch from a PC , with a little practice you can take full advantage of this OS !",OS,Positive,2
Keyboard is reasonable size .,size,Positive,2
"It is a REAL touchpad , not the toy I saw in other brands .",touchpad,Positive,2
It took several weeks just to get them to acknowledge that I owned the warranty .,warranty,Negative,0
"company provides UPS shipping , fast , great !",shipping,Positive,2
Very fast boot up and shut down .,boot up,Positive,2
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET !,PRICE,Positive,2
"The battery never held a charge longer than one hour and within two months , stopped holding a charge for more than ten minutes .",charge,Negative,0
"Until I bought the Dell , I thought you just looked for what you wanted -LRB- size , software , options , hardware -RRB- and purchase the best deal you could find .",hardware,Neutral,1
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",GUI,Negative,0
Battery life needs more life .,Battery life,Negative,0
The paint wears off easily due to the keyboard being farther back than usual .,paint,Negative,0
"While I mostly use it for email , internet and gaming , I 'm confident all other applications live up to the high standard I 've come to appreciate from Mac laptops .",applications,Positive,2
For some odd reasons the computer does n't reconize the operation system .,operation system,Negative,0
The display is beyond horrible .,display,Negative,0
"Externally the keys on my keyboard are falling off , after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit , and the screen has a terrible glare .",button below the mouse pad,Negative,0
"Other installed features , such as certain printer software , are also most attractive .",features,Positive,2
Games being the main issue .,Games,Negative,0
But you must get the 15 inch .,15 inch,Positive,2
"Startup in about 30 seconds , shutdown in 2-4 seconds , resume from sleep in 0-2 seconds .",Startup,Neutral,1
"Its Office compatible , but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs .",programs,Neutral,1
"Upgrading from Windows 7 Starter , thru Windows 7 Home Premium , to Windows 7 Professional was a snap ;",Windows 7 Home Premium,Neutral,1
"They went through asking me open up various components , taking battery out , hard disk apart , and after 2 hours on phone could not fix it .",hard disk,Neutral,1
"Great battery , speed , display .",speed,Positive,2
The 13 '' Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product .,shipping,Positive,2
"Even doing so , the hinge may just be slightly tightened only .",hinge,Neutral,1
"I have had another Mac , but it got slow due to an older operating system .",operating system,Negative,0
the i3 processor does n't seem to run hot and the fan rarely turns on .,fan,Positive,2
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,photo application,Positive,2
/ awesome cooling system / much better grafics card -LRB- ATI 5870 -RRB- / 8GB RAM / LED backlit screen. . .,LED backlit screen.,Positive,2
"The price was very good , and the product is top quality .",quality,Positive,2
I 'm learning the finger options for the mousepad that allow for quicker browsing of web pages .,mousepad,Positive,2
Best thing is I can use existing 32 bit old programs .,programs,Positive,2
"I noticed windows has a new system called Windows 7 , what about us Vista users ? They should get all the bugs out of Vista before investing in a new system .",Windows 7,Neutral,1
Cords coming out the right for power plus cords coming out front for headphones / mic plus network connection on left make for a very messy setup with cords going every direction .,headphones,Negative,0
"I love the solid machined aluminum frame , and the keyboard is the best of any laptop I 've used .",machined aluminum frame,Positive,2
since then i have had minor problems with slow operation .,operation,Negative,0
"The Mac Snow Leopard O/S is extremely easy to use , although very different than Win XP , Visa or Win7 .",Mac Snow Leopard O/S,Positive,2
Screen size is perfect for portable use in any environment .,Screen size,Positive,2
"But , buy this model and just purchase 4GB of RAM -LRB- 2x2GB for $ 92 or 1x4GB for $ 99 -RRB- , and save yourself $ 100 than the other model with 8GB of RAM .",8GB of RAM,Neutral,1
The keyboard is like no other laptop keyboard .,keyboard,Neutral,1
I was said it 's videocard .,videocard,Negative,0
"It is a much more streamlined system for adding programs , using the internet , and doing other things everyone does on a computer .",system,Positive,2
The battery has never worked well .,battery,Negative,0
I previously purchased a 13 '' macbook -LRB- had pro specs and was aluminum style -RRB- which had a nvidia 980Negative -LRB- If I am not mistaken -RRB- and it had major heating issues .,nvidia 980Negative,Neutral,1
The best thing about this laptop is the price along with some of the newer features .,price,Positive,2
"But to be honest , I do n't use my computer for anything like graphics editing and complex data analysis and gaming .",complex data analysis,Neutral,1
I bought a protector for my key pad and it works great : -RRB-,key pad,Positive,2
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again , everything from programs and drivers failing again , to it powering off for no reason , to locking up and freezing and just all sorts of issues .",programs,Negative,0
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well .,Mac version of Microsoft Office,Positive,2
"Oh yeah , do n't forget the expensive shipping to and from HP .",shipping,Negative,0
"I am constantly trying to uninstall programs , clean cookies , and delete unused files .",programs,Neutral,1
Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines .,keyboard shortcuts,Positive,2
I already have a HP laptop I bought last year that 's standard size .,size,Neutral,1
Its ease of use and the top service from Apple - be it their phone assistance or bellying up to the genius bar - can not be beat .,use,Positive,2
"I had of course bought a 3 year warranty, so I sent it in to be replaced and -LRB- almost 2 months later -RRB- the dv4 is what the sent me as a replacement .","3 year warranty,",Neutral,1
"I love the dock where I can simply drop a file ontop of a particular program , and the program will simply open that file .",dock,Positive,2
"The leather carrying case , keyboard and mouse arrived in two days from Memphis warehouse .",keyboard,Neutral,1
"Typically , when I purchase a new laptop I always end up using an external mouse for convenience .",external mouse,Neutral,1
power supply went bad after 2 weeks --,power supply,Negative,0
"Simple to use , and great graphics .",graphics,Positive,2
Vista is a nightmare .,Vista,Negative,0
I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff .,OS,Neutral,1
It seemed to be a very nice laptop except I was not able to load my Garmin GPS software or Microsoft Office 2003 .,Microsoft Office 2003,Negative,0
"-4 RAM slots , 2 HDD Bays * , 16GB RAM support - No Wireless Issues , at least for me .",Wireless,Positive,2
There was a little difficulty doing the migration as the firewire cable system ca n't be used with the iBook .,iBook,Neutral,1
"And at one point , they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop -LRB- I bought the memory stick they recomended -RRB- .",memory stick,Neutral,1
I 'm really impressed with the quality and performance for the price of the computer .,quality,Positive,2
"Its Office compatible , but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs .",features,Neutral,1
"It has plenty of memory , lots of hard drive , and great graphics .",hard drive,Positive,2
"I mainly use it for email , internet , and managing personal files -LRB- pics , vids , etc. -RRB- .",managing personal files,Neutral,1
pretty much everything else about the computer is good it just stops working out of no were .,working,Negative,0
"As a computer science student in college , I find that the portability , longevity , and ease of use of this computer make me -LRB- shockingly -RRB- want to do homework more ;",longevity,Positive,2
"Externally the keys on my keyboard are falling off , after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit , and the screen has a terrible glare .",paint,Negative,0
"It is a much more streamlined system for adding programs , using the internet , and doing other things everyone does on a computer .",using the internet,Neutral,1
"It is loaded with programs that is of no good for the average user , that makes it run way to slow .",programs,Negative,0
"I know that everyone thinks Macs are overpriced and overrated , but once you get past the initial expense you 'll find that they 're worth every penny -LRB- besides , there 's always the financing plan that Best Buy offers -RRB- .",expense,Negative,0
Boots up fast and runs great !,Boots up,Positive,2
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality !,quality,Positive,2
"The price is great for this model , I only plan on using it for media in the entertainment room .",price,Positive,2
"Returned laptop for repair a 2nd time and it came back with obvious physical damage -LRB- keyboard bulging and speaker grill pressed in -RRB- , buttons not working and USB ports inoperative .",buttons,Negative,0
The ease of use is wonderful .,use,Positive,2
"That 's very possible , but since they do n't make Windows XP drivers for the sound card in this machine , I was stuck until Windows 7 came out .",Windows 7,Positive,2
"We also use Paralles so we can run virtual machines of Windows XP Professional , Windows 7 Home Premium , Windows Server Enterprise 2003 , and Windows Server 2008 Enterprise .",Paralles,Neutral,1
"Overall : Poor , Features : Average , Performance : Poor , Battery Life : Excellent , Price-Value : Poor",Features,Neutral,1
"Because we did not purchase the extended warranty in time , we are on the hook for the repair .",extended warranty,Negative,0
"The video card is great for media , and above average for gaming , but not a gamers first choice .",media,Positive,2
super fast processor and really nice graphics card . .,graphics card,Positive,2
It 's still beautiful and has better color reproduction than I could ever expect from a notebook .,color reproduction,Positive,2
"Am very glad I bought it , great netbook , low price .",price,Positive,2
I was sorly disapointed to discover that HP -LRB- what I thought was a reputable company -RRB- would n't honor the warrenty when the fan blade fell apart .,fan blade,Negative,0
"I gave it to my daughter because I just hated the screen , hated that it had no cd drive to at least play cd 's when I wanted to listen to music and do schoolwork .",screen,Negative,0
"The screen is framed by half - to a full-inch margin that is obviously unnecessary , reduces the screen size and increases the bulk .",screen,Negative,0
"The improvements to the O S have been relatively gradual , but substantive .",O,Positive,2
I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired .,warrenty,Negative,0
"Also , macbooks come with much more features which are so cool !",features,Positive,2
They are about the same size keys .,keys,Neutral,1
"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful .",antivirus software,Neutral,1
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .",software packages,Positive,2
"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies -LRB- 720p -RRB- on occasion and creating presentations .",watching movies,Positive,2
Then the hard drive failed ;,hard drive,Negative,0
"- Bluetooth -LRB- 2.1 -RRB- , Fingerprint Reader , Full 1920x1080 screen - Integrated Mic/Webcam * - Dual touchpad mode is interesting , and easy to use -5 USB ports - Runs about 38-41C on idle , Up to 65 -LRB- for me -RRB- on load - Very quiet - I could go on and on .",screen,Positive,2
"Screen , keyboard , and mouse : If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen , responsive island backlit keyboard , and fun multi-touch mouse is worth the extra money to me alone .",Screen,Neutral,1
Also the display is exceptional !,display,Positive,2
"Fast , great visual !",visual,Positive,2
"Not sure how I recommend it for quality gaming , as I have a desktop rig for that reason .",gaming,Negative,0
"If you really want a bang-up system and do n't need to run Windows applications , go with an Apple ;",system,Positive,2
"I have Vista , so I am unable to install and uninstall some programs .",programs,Negative,0
"More times that not the screen pops up saying I have a bad internet connection , or the page ca n't be displayed .",internet connection,Negative,0
"We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",update,Negative,0
The only problem is a lack of screen resolutions !,screen resolutions,Negative,0
"I considered I may have too much on the computer , but after looking , there was plenty of space and that is not the issue .",space,Positive,2
"While most people say that PCs hold functionality and value and Macs are just pretty to look at , I think there 's something to be said about the simplicity of Macs .",value,Positive,2
The iLife software that comes with the computer is so simple to use and produces a great finished product .,iLife software,Positive,2
"The computer runs very fast with no problems and the iLife software that comes with it -LRB- iPhoto , iMovie , iWeb , iTunes , GarageBand -RRB- is all very helpful as well .",iPhoto,Positive,2
Was very much worth the price i paid .,price,Positive,2
The real stand out on this computer is the feel of the keyboard and it 's speed .,keyboard,Positive,2
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars !,battery,Negative,0
"So , after Apple replaced the hard drive I enjoyed another 4 months of my new computer , until it froze this morning -- completely .",hard drive,Neutral,1
"Aside from the trial software and the short battery life , lack of a webcam , its great .",trial software,Negative,0
This is a nicely sized laptop with lots of processing power and long battery life .,processing power,Positive,2
"I have Vista , so I am unable to install and uninstall some programs .",Vista,Negative,0
"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .",motherboard,Neutral,1
"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .",Firefox,Neutral,1
"Startup in about 30 seconds , shutdown in 2-4 seconds , resume from sleep in 0-2 seconds .",resume from sleep,Neutral,1
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary -LRB- unless you 're gaming -RRB- .",tracking area,Positive,2
He has replaced his hard drive twice and -LRB- of course -RRB- has had to pay for antivirus software every year .,antivirus software,Negative,0
Screen is crystal clear and the system is very responsive .,system,Positive,2
"Ever since I bought this laptop , so far I 've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines .",toshiba customer services,Negative,0
"* = Webcam is a bit laggy , not the greatest .",Webcam,Negative,0
"Theres also iDVD , a program dedicated to putting all your favorite media together - photos , recordings , video projects into one program so that you can create the perfect memoir for your parents , family , siblings , and any other person important in your life that there may be .",iDVD,Positive,2
The mousepad is a huge pain in the arse !,mousepad,Negative,0
"also you may need to charge it once a day , if for medium use every thing fast and easy with mac the size and look is the most feature that attracted me to it .",size,Positive,2
I love the operating system and the preloaded software .,operating system,Positive,2
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard .,keyboard,Negative,0
Asked the customer service rep .,customer service rep,Neutral,1
"They went through asking me open up various components , taking battery out , hard disk apart , and after 2 hours on phone could not fix it .",battery,Neutral,1
"That included the extra Sony Sonic Stage software , the speakers and the subwoofer I got -LRB- that WAS worth the money -RRB- , the bluetooth mouse for my supposedly bluetooth enabled computer , the extended life battery and the Docking port .",Docking port,Neutral,1
I guess the only good thing that came out of these were the speakers and the subwoofer .,speakers,Positive,2
"The PhotoBooth is a great program , it takes very good pictures with the built-in camera .",program,Positive,2
"The best thing to do is build your own computer , but if u ca n't company 's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $ 2000 systems and if you google `` dell coupons '' you can find codes that take a signifant amount off the price .",price,Positive,2
"Info : Windows failed to load because the kernal is missing , or corrupt .",Windows,Negative,0
It was secure and easy to navigate .,navigate,Positive,2
Its good for playing my apps on Facebook or watching movies .,watching movies,Positive,2
"Size : I know 13 is small -LRB- especially for a desktop replacement -RRB- but with an external monitor , who cares .",external monitor,Neutral,1
"For the Bluetooth to work properly , you must install the Launch Manager on the Drivers/Applications DVD , or it will not show after the reload .",Drivers/Applications DVD,Neutral,1
"After having two PC laptops die with in the past 3 years , I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues .",tech issues,Positive,2
We researched and found the best price at MacConnection .,price,Positive,2
Design : very durable .,Design,Positive,2
"Your cursor will end up all over the freaking place , , , it 's not uncommon for me to accidentally delete words , sentences , paragraphs because of this mousepad .",cursor,Negative,0
"Laptop is advertised as a 15"" but the casing looks like that of a 17 '' .","15""",Neutral,1
Drivers updated ok but the BIOS update froze the system up and the computer shut down .,BIOS update,Negative,0
"you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .",price,Positive,2
Cords coming out the right for power plus cords coming out front for headphones / mic plus network connection on left make for a very messy setup with cords going every direction .,mic,Negative,0
"I noticed windows has a new system called Windows 7 , what about us Vista users ? They should get all the bugs out of Vista before investing in a new system .",Vista,Neutral,1
"Treat yourself to a more expensive , long-lasting laptop of quality like a Sony , Apple , or Toshiba .",quality,Positive,2
I still have that stupid bluetooth mouse to !,bluetooth mouse,Negative,0
"Besides the great look , it is a great machine .",look,Positive,2
The processor is very quick and effective as I load webpages and applications .,webpages,Neutral,1
Disappointing for such a lovely screen and at a reasonable price,price,Positive,2
COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS .,SERVICE FACILITY,Negative,0
Battery is not upgradable to a longer life battery .,Battery,Negative,0
Many kinds of software that is necessary to the working person is not available and can not be downloaded .,software,Negative,0
"I work in film editing and post production , so I need a laptop that not only has power , but memory and speed as well .",power,Neutral,1
"The computer runs very fast with no problems and the iLife software that comes with it -LRB- iPhoto , iMovie , iWeb , iTunes , GarageBand -RRB- is all very helpful as well .",runs,Positive,2
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers .,gaming look,Positive,2
"Quality Display I love HP , , it 's the only computer/printer we will buy .",Quality Display,Positive,2
The sheer power and flexibility makes the MacBook Pro a must have for any techie !,flexibility,Positive,2
I looked around and based off my price / features comparison from a brand I trusted I landed here .,features,Neutral,1
"The Macbook arrived in a nice twin packing and sealed in the box , all the functions works great .",twin packing,Positive,2
"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !",operating system,Positive,2
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side .,graphics,Negative,0
"Overall I feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work .",battery life,Positive,2
The next time I had an issue my lightscribe would n't work .,lightscribe,Negative,0
You wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet .,virus program,Negative,0
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty .,extended warranty,Neutral,1
My wireless system would not recognize Windows 7 and I could n't get online to find out why .,wireless system,Negative,0
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",GUI,Positive,2
"I got it back again and was told the motherboard had been replaced , so I was now on the SECOND motherboard within 3 months .",motherboard,Negative,0
Windows Vista makes this computer almost unusable for online service .,online service,Negative,0
"Did I mention everything about it , from size to weight to keyboard screams BULK ?",keyboard,Negative,0
"I wiped nearly everything off of it , installed OpenOffice and Firefox , and I am operating an incredibly efficient and useful machine for a great price .",OpenOffice,Neutral,1
My kids -LRB- and dogs -RRB- destroyed two power cords by pulling on them .,power cords,Neutral,1
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen .,vga port,Positive,2
"BEST BUY - 5 STARS + + + -LRB- sales , service , respect for old men who are n't familiar with the technology -RRB- DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,Positive,2
It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing .,fires up,Positive,2
The only bad part is the size / weight .,weight,Negative,0
"The battery life is amazing , the versitility is outstanding .",versitility,Positive,2
"It takes me approximately 3 tries to get to each site , then after closing the browser and reopening it it actually works .",browser,Neutral,1
"Again , decent comp for the price , and I was in need of one quickly as my other laptop died on me .",price,Positive,2
"Aside from the trial software and the short battery life , lack of a webcam , its great .",webcam,Negative,0
"-4 RAM slots , 2 HDD Bays * , 16GB RAM support - No Wireless Issues , at least for me .",HDD Bays,Neutral,1
"The dv4 boasted a faster processor , more memory , and a bigger hard drive than my old computer , plus a better quality web cam , nicer screen , and many other features .",screen,Positive,2
defective software .,software,Negative,0
"The touchpad is extremely sensitive , which is the only drawback .",touchpad,Negative,0
"A great feature is the spotlight search : one can search for documents by simply typing a keyword , rather than parsing tens of file folders for a document .",spotlight search,Positive,2
"I connect a LaCie 2Big external drive via the firewire 800 interface , which is useful for Time Machine .",firewire 800 interface,Positive,2
Asus facial recognition does n't work and windows logon is n't either .,windows logon,Negative,0
"Laptop is advertised as a 15 '' but the casing looks like that of a 17"" .","17""",Neutral,1
"Even though it is running Snow Leopard , 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel .",CPU,Negative,0
Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines .,shortcuts,Neutral,1
"It is short on space , and downloads always had problems being completed , or were said to be ` corrupted ' .",downloads,Negative,0
"I wanted to purchase the extended warranty and they refused , because they knew it was trouble .",extended warranty,Neutral,1
There is a backlit keyboard which is perfect for typing in the dark .,backlit keyboard,Positive,2
"Also , because of the size and consistancy of the laptop computer , some websites would n't even attempt to work on the computer because of browser problems .",size,Negative,0
"As with any laptop not purchased with software options , it comes with a lot of what I consider useless applications .",software options,Negative,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,hard disc,Negative,0
"There is a small red circle next to it with a x in the middle , and when I click on it it says : '' Consider replacing your battery '' and it does not hold full charge .",battery,Neutral,1
"Then I 've fixed the DC jack -LRB- inside the unit -RRB- , rewired the DC jack to the OUTside of the laptop , replaced the power brick .",DC jack,Neutral,1
"Overall , I experienced a huge change in that my mac runs pretty fast compared to my old PC .",runs,Positive,2
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",gaming,Neutral,1
For the price and what I get out of it has exceeded my expectations .,price,Positive,2
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer .,features,Neutral,1
"I also purchased iWork to go with it which has programs for word processing , spreadsheets , and presentations -LRB- similar to Microsoft Office -RRB- .",spreadsheets,Neutral,1
"The only thing I did n't learn in my research was the software I would need like privacy protection and warranty protection , in case it gets broken , or crashes etc. .",software,Neutral,1
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers .,use,Positive,2
"The screen is nice and the images comes very clear , the keyboard and the fit just feels right .",keyboard,Positive,2
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",power light,Neutral,1
"I actually had the hard drive replaced twice , the mother board once , the dvd drive twice , then they FINALLY agreed to replace it , -LRB- ALL OF THIS IN LESS THAN 1 1/2 YEARS !",mother board,Negative,0
"The other lock-up problems are from a myriad of causes , the most common being a corrupted version of Appleworks which can render the browser useless .",Appleworks,Negative,0
"The processor screams , and because of the unique way that Apple OSX 16 functions , most of the graphics are routed through the hardware rather than the software .",graphics,Positive,2
"I sent it back and found this time that the battery was faulty , so I got a new one and some other fixes they found .",battery,Negative,0
"I never had this kind of quality issue with Dell -LRB- not to say Dell is that great -RRB- , not with a brand new laptop .",quality,Negative,0
This laptop meets every expectation and Windows 7 is great !,Windows 7,Positive,2
Has a 5-6 hour battery life .,battery life,Neutral,1
It could be a perfect laptop if it would have faster system memory and its radeon 585Negative would have DDR5 instead of DDR3 .,radeon 585Negative,Negative,0
"The speed difference is next to NOTHING for a mac , and the hard drive can be manually upgraded or you could just buy a $ 60 500gb external hard drive .",hard drive,Neutral,1
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , -LRB- mind you this was my means of communication with my fiance who was deployed -RRB- but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",mic,Negative,0
Hmmm - that high failure rate sure is n't reflected in the retail price .,retail price,Negative,0
"It has far exceeded my expectations for power , storage , and abilitiy .",abilitiy,Positive,2
Oh and if thats not bad enough it does n't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $ 25 for two cds .,recovery cd,Negative,0
"Whenever I call Dell about an unrelated problem , they ask me if my laptop is running slowly and if I 'd like to purchase more memory for $ 75 .",memory,Neutral,1
"My power supply cord developed exposed wires within the first year of ownership , so it was covered by the Applecare warranty plan .",Applecare warranty plan,Positive,2
"I 've had to call Apple support to set up my new printer and have had wonderful experiences with helpful , english speaking -LRB- from Vancouver -RRB- techs that walked me through the processes to help me .",techs,Positive,2
"After talking it over with the very knowledgeable sales associate , I chose the MacBook Pro over the white MacBook .",sales associate,Positive,2
"Some features arent friendly -LRB- volume wheel , sound quality , etc. .",features,Negative,0
I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer .,warranty,Positive,2
It played various games without problems and ran aero smoothly and flawlessly .,aero,Neutral,1
"I do n't have stupid pop up windows -LRB- even when I have pop ups blocked -RRB- , I do n't have to wait 5 minutes for a webpage to download , and best of all I can run all the web programming software I need to use all at once without slowing me down .",pop up windows,Positive,2
"Whenever tried to turn it on , it would restart as soon as the BIOS launched Windows -LRB- or Winblows , as I like ot call it -RRB- .",BIOS,Negative,0
It 's color is even cool .,color,Positive,2
Another Great thing is the Beast graphics .,Beast graphics,Positive,2
"Otherwise , all other features are a Neutral",features,Neutral,1
